Description,GeoAreaName,Year,Value
Proportion of women in managerial positions (%),World,2000,25.32
Proportion of women in managerial positions (%),World,2001,25.67
Proportion of women in managerial positions (%),World,2002,25.82
Proportion of women in managerial positions (%),World,2003,26.3
Proportion of women in managerial positions (%),World,2004,26.35
Proportion of women in managerial positions (%),World,2005,26.8
Proportion of women in managerial positions (%),World,2006,26.85
Proportion of women in managerial positions (%),World,2007,27.29
Proportion of women in managerial positions (%),World,2008,27.21
Proportion of women in managerial positions (%),World,2009,27.27
Proportion of women in managerial positions (%),World,2010,27.39
Proportion of women in managerial positions (%),World,2011,27.31
Proportion of women in managerial positions (%),World,2012,26.76
Proportion of women in managerial positions (%),World,2013,26.74
Proportion of women in managerial positions (%),World,2014,26.92
Proportion of women in managerial positions (%),World,2015,27.17
Proportion of women in managerial positions (%),World,2016,27.53
Proportion of women in managerial positions (%),World,2017,27.7
Proportion of women in managerial positions (%),World,2018,27.88
Proportion of women in managerial positions (%),World,2019,28.25
Proportion of women in managerial positions (%),World,2020,28.34
Proportion of women in managerial positions (%),Africa,2000,19.28
Proportion of women in managerial positions (%),Africa,2001,19.17
Proportion of women in managerial positions (%),Africa,2002,18.33
Proportion of women in managerial positions (%),Africa,2003,18.04
Proportion of women in managerial positions (%),Africa,2004,17.83
Proportion of women in managerial positions (%),Africa,2005,19.09
Proportion of women in managerial positions (%),Africa,2006,19.73
Proportion of women in managerial positions (%),Africa,2007,19.84
Proportion of women in managerial positions (%),Africa,2008,20.59
Proportion of women in managerial positions (%),Africa,2009,22.14
Proportion of women in managerial positions (%),Africa,2010,21.9
Proportion of women in managerial positions (%),Africa,2011,22.99
Proportion of women in managerial positions (%),Africa,2012,20.02
Proportion of women in managerial positions (%),Africa,2013,18.24
Proportion of women in managerial positions (%),Africa,2014,18.87
Proportion of women in managerial positions (%),Africa,2015,19.1
Proportion of women in managerial positions (%),Africa,2016,20.03
Proportion of women in managerial positions (%),Africa,2017,21.22
Proportion of women in managerial positions (%),Africa,2018,20.95
Proportion of women in managerial positions (%),Africa,2019,21.12
Proportion of women in managerial positions (%),Africa,2020,20.82
Proportion of women in managerial positions (%),Afghanistan,2014,6.37
Proportion of women in managerial positions (%),Afghanistan,2017,4.05
Proportion of women in managerial positions (%),Afghanistan,2020,4.89
Proportion of women in managerial positions (%),South America,2000,31.86
Proportion of women in managerial positions (%),South America,2001,32.62
Proportion of women in managerial positions (%),South America,2002,33.22
Proportion of women in managerial positions (%),South America,2003,34.15
Proportion of women in managerial positions (%),South America,2004,34.28
Proportion of women in managerial positions (%),South America,2005,35.34
Proportion of women in managerial positions (%),South America,2006,35.19
Proportion of women in managerial positions (%),South America,2007,35.93
Proportion of women in managerial positions (%),South America,2008,35.75
Proportion of women in managerial positions (%),South America,2009,36.69
Proportion of women in managerial positions (%),South America,2010,36.79
Proportion of women in managerial positions (%),South America,2011,37.35
Proportion of women in managerial positions (%),South America,2012,38.16
Proportion of women in managerial positions (%),South America,2013,38.41
Proportion of women in managerial positions (%),South America,2014,38.83
Proportion of women in managerial positions (%),South America,2015,39.35
Proportion of women in managerial positions (%),South America,2016,39.43
Proportion of women in managerial positions (%),South America,2017,39.39
Proportion of women in managerial positions (%),South America,2018,39.1
Proportion of women in managerial positions (%),South America,2019,38.4
Proportion of women in managerial positions (%),South America,2020,37.05
Proportion of women in managerial positions (%),Albania,2007,20.47
Proportion of women in managerial positions (%),Albania,2008,23.74
Proportion of women in managerial positions (%),Albania,2009,22.47
Proportion of women in managerial positions (%),Albania,2010,19.1
Proportion of women in managerial positions (%),Albania,2012,16.07
Proportion of women in managerial positions (%),Albania,2014,18.68
Proportion of women in managerial positions (%),Albania,2015,19.76
Proportion of women in managerial positions (%),Albania,2016,24.14
Proportion of women in managerial positions (%),Albania,2017,22.65
Proportion of women in managerial positions (%),Albania,2018,29.25
Proportion of women in managerial positions (%),Albania,2019,34.11
Proportion of women in managerial positions (%),Oceania,2000,32.19
Proportion of women in managerial positions (%),Oceania,2001,33.49
Proportion of women in managerial positions (%),Oceania,2002,33.79
Proportion of women in managerial positions (%),Oceania,2003,33.7
Proportion of women in managerial positions (%),Oceania,2004,33.13
Proportion of women in managerial positions (%),Oceania,2005,33.86
Proportion of women in managerial positions (%),Oceania,2006,34.48
Proportion of women in managerial positions (%),Oceania,2007,34.53
Proportion of women in managerial positions (%),Oceania,2008,35.51
Proportion of women in managerial positions (%),Oceania,2009,35.5
Proportion of women in managerial positions (%),Oceania,2010,34.6
Proportion of women in managerial positions (%),Oceania,2011,35.98
Proportion of women in managerial positions (%),Oceania,2012,35.78
Proportion of women in managerial positions (%),Oceania,2013,35.9
Proportion of women in managerial positions (%),Oceania,2014,36.33
Proportion of women in managerial positions (%),Oceania,2015,37.33
Proportion of women in managerial positions (%),Oceania,2016,36.63
Proportion of women in managerial positions (%),Oceania,2017,38.07
Proportion of women in managerial positions (%),Oceania,2018,37.55
Proportion of women in managerial positions (%),Oceania,2019,37.77
Proportion of women in managerial positions (%),Oceania,2020,37.81
Proportion of women in managerial positions (%),Western Africa,2000,22.84
Proportion of women in managerial positions (%),Western Africa,2001,23.08
Proportion of women in managerial positions (%),Western Africa,2002,23.56
Proportion of women in managerial positions (%),Western Africa,2003,23.91
Proportion of women in managerial positions (%),Western Africa,2004,24.45
Proportion of women in managerial positions (%),Western Africa,2005,24.8
Proportion of women in managerial positions (%),Western Africa,2006,25.09
Proportion of women in managerial positions (%),Western Africa,2007,25.4
Proportion of women in managerial positions (%),Western Africa,2008,25.71
Proportion of women in managerial positions (%),Western Africa,2009,26.16
Proportion of women in managerial positions (%),Western Africa,2010,26.79
Proportion of women in managerial positions (%),Western Africa,2011,27.32
Proportion of women in managerial positions (%),Western Africa,2012,26.65
Proportion of women in managerial positions (%),Western Africa,2013,26.49
Proportion of women in managerial positions (%),Western Africa,2014,26.42
Proportion of women in managerial positions (%),Western Africa,2015,26.67
Proportion of women in managerial positions (%),Western Africa,2016,27.12
Proportion of women in managerial positions (%),Western Africa,2017,30.63
Proportion of women in managerial positions (%),Western Africa,2018,30.6
Proportion of women in managerial positions (%),Western Africa,2019,30.68
Proportion of women in managerial positions (%),Western Africa,2020,30.92
Proportion of women in managerial positions (%),Algeria,2001,5.24
Proportion of women in managerial positions (%),Algeria,2003,5.69
Proportion of women in managerial positions (%),Algeria,2004,4.87
